CityName	Reviews	Transit	Safety	Core Appeal	Metro Draw	Rating
San Francisco	1.2M	85	70	95	80	4.9
Los Angeles	2.5M	75	65	90	100	4.8
San Diego	900K	70	80	85	70	4.7
Santa Barbara	300K	60	85	80	50	4.5
Napa	150K	50	90	75	40	4.4
Monterey	200K	55	85	75	30	4.3
Palm Springs	180K	40	80	70	20	4.2
Sacramento	400K	65	75	65	60	4.1
Santa Cruz	250K	50	70	70	30	4.0
Fresno	100K	45	60	55	20	3.5
Carmel-by-the-Sea	120K	50	90	85	30	4.7
Lake Tahoe	350K	40	80	90	20	4.6
Yosemite Village	1.1M	20	85	95	10	4.6
Big Sur	800K	25	80	90	15	4.6
Malibu	600K	45	85	80	60	4.5
Beverly Hills	550K	65	75	85	90	4.5
Anaheim	2.2M	60	70	80	95	4.5
Sausalito	200K	50	85	80	40	4.4
Laguna Beach	450K	50	80	85	25	4.4
Pasadena	350K	65	75	75	70	4.3
Long Beach	700K	75	70	75	80	4.3
San Jose	500K	80	75	70	90	4.2
Ventura	220K	50	80	75	30	4.2
Bakersfield	150K	40	60	60	20	3.7
Stockton	110K	35	55	50	25	3.4
Santa Monica	1.4M	80	75	85	90	4.7
Joshua Tree	400K	20	80	90	10	4.6
Sonoma	200K	50	85	80	40	4.5
Mendocino	150K	25	90	85	20	4.5
Death Valley	300K	10	85	95	5	4.5
Eureka	110K	35	70	75	20	4.4
Redding	80K	30	70	75	15	4.3
Oceanside	200K	50	75	70	40	4.2
Huntington Beach	500K	60	80	75	70	4.2
Santa Ana	300K	70	65	70	75	4.1
Oxnard	200K	55	70	65	60	4.0
Chico	90K	40	65	70	20	3.9
Modesto	150K	50	60	65	30	3.8
Vallejo	100K	50	60	60	40	3.7
Lodi	60K	30	65	55	25	3.6
Sequoia National Park	300K	15	85	95	5	4.7
Point Reyes	250K	30	90	90	15	4.6
Calistoga	120K	40	85	75	25	4.5
Shasta Lake	80K	20	75	80	10	4.4
San Luis Obispo	350K	60	80	80	30	4.4
Atascadero	70K	30	80	70	20	4.3
Santa Barbara County	500K	50	85	85	40	4.3
Lake Arrowhead	150K	25	80	75	15	4.2
Palm Desert	200K	40	75	70	25	4.1
Carmel Valley	100K	20	85	80	10	4.1
Laguna Niguel	150K	55	80	70	40	4.0
Indio	180K	35	70	65	20	3.9
Murrieta	90K	25	75	60	30	3.8
Turlock	50K	40	60	55	15	3.7
Clovis	60K	30	70	60	10	3.6
